ItemCode,ItemName,No. Fabricante,In Stock,Qty Ordered by,Qty Ordered from,Pedido,Total,Mes_1_venta,Mes_1_inventario,Mes_2_venta,Mes_2_inventario,Mes_3_venta,Mes_3_inventario,Mes_4_venta,Mes_4_inventario,Mes_5_venta,Mes_5_inventario,Mes_6_venta,Mes_6_inventario,Mes_7_venta,Mes_7_inventario,Mes_8_venta,Mes_8_inventario,Mes_9_venta,Mes_9_inventario,Mes_10_venta,Mes_10_inventario,Mes_11_venta,Mes_11_inventario,Mes_12_venta,Mes_12_inventario
ACEI-EIFFEL-NORM-0001,ACEITE DE CAJA 80W90 API G-5 CUBETA EIFFEL,,27.0,2.0,56.0,0.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,28.0,1.0,27.0,0.0,27.0,0.0,27.0
ACEI-EIFFEL-NORM-0002,ACEITE DE CAJA 80W90 1LT GL-5 EIFFEL,,1020.0,133.0,1300.0,0.0,2187.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1200.0,0.0,1200.0,13.0,1187.0,167.0,1020.0,0.0,1020.0
ACEI-EIFFEL-NORM-0003,ACEITE DE CAJA  80W90 GL-5 GARRAFA  5 LTS EIFFEL,,134.0,70.0,168.0,0.0,232.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,144.0,0.0,144.0,10.0,134.0,0.0,134.0,0.0,134.0
ACEI-EIFFEL-NORM-0004,ACEITE DE CAJA 85W140  1 LT GL-5 EIFFEL,,984.0,157.0,1300.0,0.0,2127.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1200.0,0.0,1200.0,25.0,1175.0,191.0,984.0,0.0,984.0
ACEI-EIFFEL-NORM-0005,ACEITE DE CAJA 85W140 CUBETA 20 LTS GL-5 EIFFEL,,21.0,2.0,56.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,28.0,1.0,27.0,6.0,21.0,0.0,21.0
ACEI-EIFFEL-NORM-0006,ACEITE CAJA ATF DEX VI 1 LT EIFFEL,,592.0,67.0,650.0,0.0,1175.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,600.0,0.0,600.0,7.0,593.0,1.0,592.0,0.0,592.0
ACEI-EIFFEL-NORM-0007,ACEITE DE CAJA  ATF DEX III 1 LT EIFFEL,,1079.0,157.0,1300.0,0.0,2222.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1200.0,0.0,1200.0,37.0,1163.0,84.0,1079.0,0.0,1079.0
ACEI-EIFFEL-NORM-0008,ACEITE DE CAJA ATF DEX III GARRAFA 5 LTS EIFFEL,,78.0,49.0,168.0,0.0,197.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,144.0,0.0,144.0,19.0,125.0,47.0,78.0,0.0,78.0
ACEI-EIFFEL-NORM-0009,ACEITE HIDRAULICO 68 CUBETA EIFFEL (HYD AW 68),,50.0,6.0,100.0,0.0,144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,50.0,0.0,50.0,0.0,50.0,0.0,50.0
ACEI-EIFFEL-SINT-0001,ACEITE 20W50 LTS GASOL.F/SINT/DURA MAX SILVER EIFFEL,,173.0,432.0,1.0,0.0,-258.0,0.0,586.0,120.0,466.0,0.0,467.0,4.0,463.0,0.0,463.0,2.0,461.0,37.0,424.0,28.0,396.0,0.0,396.0,88.0,305.0,132.0,173.0,0.0,173.0
ACEI-EIFFEL-SINT-0002,ACEITE 20W50 GARRAFA GASO.F/SINT.DURA MAX SILVER EIFFEL,,124.0,152.0,1.0,0.0,-27.0,-6.0,253.0,19.0,234.0,12.0,225.0,0.0,225.0,0.0,224.0,7.0,217.0,1.0,215.0,3.0,212.0,14.0,197.0,28.0,169.0,45.0,124.0,0.0,124.0
ACEI-EIFFEL-SINT-0005,ACEITE 15W40 LTS  DIESEL F/SINT/VISTA TITANIUM EIFFEL,,1302.0,378.0,1.0,0.0,925.0,24.0,1596.0,72.0,1524.0,24.0,1524.0,-83.0,1607.0,84.0,1523.0,37.0,1474.0,12.0,1474.0,-16.0,1490.0,0.0,1478.0,66.0,1412.0,110.0,1302.0,0.0,1302.0
ACEI-EIFFEL-SINT-0008,ACEIE 20W50 LTS GASO. F/SINT/DURAMAX SUPREME EIFFEL,,41.0,193.0,1.0,0.0,-151.0,24.0,430.0,36.0,394.0,24.0,359.0,-96.0,455.0,24.0,427.0,64.0,367.0,0.0,355.0,16.0,339.0,12.0,327.0,61.0,266.0,225.0,41.0,0.0,41.0
ACEI-EIFFEL-SINT-0009,ACEITE 20W50 GARRAFA GASO. F/SINT/DURAMAX SUPREME EIFFEL,,141.0,73.0,1.0,0.0,69.0,30.0,208.0,12.0,196.0,0.0,193.0,-60.0,253.0,6.0,247.0,12.0,235.0,6.0,229.0,13.0,216.0,1.0,215.0,8.0,207.0,66.0,141.0,0.0,141.0
ACEI-EIFFEL-SINT-0011,ACEITE 5W30 LTS GASO. F/SINT/ OPERA ULTIMATE EIFFEL,,393.0,84.0,1.0,0.0,310.0,0.0,610.0,24.0,586.0,0.0,586.0,12.0,574.0,12.0,562.0,12.0,550.0,11.0,539.0,21.0,518.0,24.0,493.0,28.0,461.0,68.0,393.0,0.0,393.0
ACEI-EIFFEL-SINT-0012,ACEITE 10W30 LTS F/SINT/PRESTI ULTIMATE EIFFEL,,1566.0,147.0,1.0,0.0,1420.0,12.0,1662.0,33.0,1634.0,0.0,1647.0,12.0,1635.0,0.0,1635.0,12.0,1621.0,0.0,1621.0,12.0,1609.0,0.0,1609.0,31.0,1578.0,12.0,1566.0,0.0,1566.0
ACEI-EIFFEL-SINT-0013,ACEITE 10W30 GARRAFA GASO. F/SINT/PRESTI ULTIMATE EIFFEL,,204.0,109.0,0.0,0.0,95.0,19.0,281.0,9.0,272.0,1.0,277.0,2.0,275.0,0.0,275.0,16.0,259.0,1.0,257.0,1.0,256.0,5.0,250.0,32.0,218.0,14.0,204.0,0.0,204.0
ACEI-EIFFEL-SINT-0014,ACEITE 5W20 LITS F/SINT/OPERA ULTIMATE EIFFEL,,317.0,104.0,1.0,0.0,214.0,24.0,548.0,24.0,524.0,0.0,524.0,17.0,507.0,12.0,495.0,18.0,476.0,17.0,459.0,9.0,450.0,29.0,422.0,20.0,402.0,85.0,317.0,0.0,317.0
ACEI-EIFFEL-SINT-0015,ACEITE 5W40 LTS F/SINT/OPERA ULTIMATE EIFFEL,,586.0,85.0,1.0,0.0,502.0,0.0,624.0,24.0,600.0,0.0,599.0,0.0,599.0,0.0,599.0,0.0,599.0,0.0,599.0,-18.0,617.0,13.0,604.0,8.0,596.0,10.0,586.0,0.0,586.0
ACEI-EIFFEL-SINT-0017,ACEITE SEA 50 1 LT DIESEL EIFFEL,,1185.0,36.0,1300.0,0.0,2449.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1200.0,0.0,1200.0,12.0,1188.0,3.0,1185.0,0.0,1185.0
ACEI-EIFFEL-SINT-0018,ACEITE SAE 50 CUBETA DIESEL EIFFEL,,55.0,3.0,112.0,0.0,164.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,0.0,56.0,1.0,55.0,0.0,55.0,0.0,55.0
ACEI-EIFFEL-SINT-0019,ACEITE 15W40 BARRIL (210LTS) S/SINT/DIESEL EIFFEL,,6.0,1.0,16.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,8.0,1.0,7.0,1.0,6.0,0.0,6.0
ACEI-EIFFEL-SINT-0020,ACEITE 20W50 CUBETA DURAMX SILVER EIFFEL,,27.0,5.0,56.0,0.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,28.0,1.0,27.0,0.0,27.0,0.0,27.0
ACEI-EIFFEL-SINT-0021,ACEITE 20W50 BARRIL (210 LTS) PETROL  SL EIFFEL,,4.0,1.0,8.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0
ACEI-EIFFEL-SINT-0022,ACEITE DE MOTO 20W50 4T 1 LT SL PETROL EIFFEL,,1264.0,343.0,1482.0,0.0,2403.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1368.0,0.0,1368.0,43.0,1325.0,61.0,1264.0,0.0,1264.0
ACEI-EIFFEL-SSINT-0003,ACEITE 10W30 LTS GASL.S/SINT/PRESTI SILVER EIFFEL,,434.0,217.0,1.0,0.0,218.0,24.0,588.0,36.0,552.0,0.0,540.0,13.0,527.0,13.0,514.0,0.0,523.0,4.0,519.0,0.0,519.0,12.0,519.0,25.0,494.0,60.0,434.0,0.0,434.0
ACEI-EIFFEL-SSINT-0004,ACEITE 10W30 GARRAFA GASO. S/SINT/PRESTI SILVER EIFFEL API SP,,199.0,78.0,3.0,0.0,124.0,0.0,300.0,18.0,282.0,0.0,280.0,0.0,280.0,2.0,278.0,1.0,277.0,2.0,257.0,-2.0,259.0,2.0,258.0,9.0,249.0,50.0,199.0,0.0,199.0
ACEI-EIFFEL-SSINT-0006,ACEITE 15W40 GARRAFA DIESEL  S/SINT/VISTA TITANIUM EIFFEL,,315.0,127.0,337.0,0.0,525.0,12.0,192.0,66.0,126.0,0.0,119.0,-54.0,173.0,42.0,131.0,24.0,107.0,0.0,107.0,0.0,395.0,12.0,383.0,25.0,358.0,43.0,315.0,0.0,315.0
ACEI-EIFFEL-SSINT-0010,ACEITE 15W40 CUBETA DIESEL S/SINT/VISTA TIANIUM EIFFEL,,247.0,10.0,501.0,0.0,738.0,12.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.0,0.0,250.0,2.0,248.0,1.0,247.0,0.0,247.0
ACEI-EIFFEL-SSINT-0016,ACEITE 10W40 LTS GASO/DIESEL S/SINT/PRESTI ULTIMATE  EIFFEL,,521.0,85.0,1.0,0.0,437.0,4.0,606.0,72.0,534.0,0.0,554.0,0.0,554.0,0.0,554.0,5.0,549.0,0.0,552.0,-10.0,562.0,17.0,545.0,1.0,544.0,23.0,521.0,0.0,521.0
ACEI-EUROL-ATF-0001,ACEITE ATF III MINERAL 5 LTS EUROL,,111.0,0.0,0.0,0.0,111.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,120.0,4.0,116.0,0.0,116.0,0.0,116.0,2.0,114.0,2.0,112.0,0.0,112.0,1.0,111.0,0.0,111.0
ACEI-EUROL-ATF-0002,ACEITE ATF CVT 1304 FUL SINTETICO 5 LTS EUROL,,118.0,0.0,0.0,0.0,118.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,120.0,0.0,120.0,1.0,119.0,0.0,119.0,0.0,119.0,1.0,118.0,0.0,118.0,0.0,118.0,0.0,118.0
ACEI-EUROL-ATF-0003,ACEITE TRANSMISION  80W90 HPG MINERAL 5 LTS EUROL,,113.0,1.0,0.0,0.0,112.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,120.0,0.0,120.0,0.0,120.0,0.0,120.0,0.0,120.0,3.0,117.0,2.0,115.0,2.0,113.0,0.0,113.0
ACEI-EUROL-ATF-0005,ACEITE ATF 1100 1 LT  F/SINTETICO  EUROL,,292.0,0.0,0.0,0.0,292.0,0.0,0.0,0.0,0.0,0.0,312.0,0.0,312.0,1.0,311.0,8.0,303.0,5.0,298.0,2.0,296.0,0.0,296.0,2.0,294.0,2.0,292.0,0.0,292.0
ACEI-EUROL-ATF-0006,ACEITE TRANSMISION  80W90 HPG 1 LT MINERAL  EUROL,,556.0,0.0,0.0,0.0,556.0,0.0,0.0,0.0,0.0,0.0,624.0,0.0,624.0,4.0,620.0,21.0,599.0,1.0,598.0,11.0,587.0,9.0,578.0,12.0,560.0,3.0,556.0,0.0,556.0
ACEI-EUROL-ATF-0007,ACEITE 85W140 HPG EP CUBETA MINERAL EUROL,,21.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,22.0,0.0,22.0,0.0,22.0,0.0,22.0,0.0,22.0,0.0,22.0,0.0,22.0,1.0,21.0,0.0,21.0
ACEI-EUROL-ATF-0008,ACEITE ATF III CUBETA MINERAL EUROL,,22.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,22.0,0.0,22.0,0.0,22.0,0.0,22.0,0.0,22.0,0.0,22.0,0.0,22.0,0.0,22.0,0.0,22.0
ACEI-EUROL-ATF-0009,ACEITE HIDRAULICO ISO-VG68 CUBETA MINERAL EUROL,,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0
ACEI-EUROL-ATF-0010,ACEITE 80W90 HPG CUBETA MINERAL EUROL,,21.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,22.0,0.0,22.0,0.0,22.0,0.0,22.0,0.0,22.0,0.0,22.0,0.0,22.0,1.0,21.0,0.0,21.0
ACEI-EUROL-ATF-0011,ACEITE ATF III LTS MINERAL EUROL,,601.0,0.0,0.0,0.0,601.0,0.0,0.0,0.0,0.0,0.0,624.0,0.0,624.0,19.0,605.0,0.0,605.0,0.0,605.0,1.0,604.0,3.0,601.0,0.0,601.0,0.0,601.0,0.0,601.0
ACEI-EUROL-ATF-0012,ACEITE 85W140 HPG EP GARRAFA MINERAL EUROL,,119.0,4.0,4.0,0.0,119.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,120.0,0.0,120.0,0.0,120.0,0.0,120.0,0.0,120.0,0.0,120.0,0.0,120.0,1.0,119.0,0.0,119.0
ACEI-EUROL-SINT-0001,ACEITE 5W40 1 LT SUPER LITE DIESEL Y GASOLINA FULL SINT/EUROL,,3.0,0.0,0.0,0.0,3.0,15.0,339.0,61.0,278.0,98.0,181.0,30.0,151.0,67.0,76.0,66.0,18.0,-3.0,22.0,0.0,11.0,2.0,9.0,2.0,7.0,4.0,3.0,0.0,3.0
ACEI-EUROL-SINT-0002,ACEITE 0W20 1 LT EVOLENCE GASOLINA FULL SINT/EUROL,,152.0,12.0,0.0,0.0,140.0,46.0,339.0,10.0,329.0,58.0,272.0,22.0,250.0,31.0,218.0,28.0,184.0,0.0,184.0,5.0,179.0,13.0,166.0,9.0,157.0,5.0,152.0,0.0,152.0
ACEI-EUROL-SINT-0003,ACEITE 5W20 1 LT SUPER LITE GASOLINA FUL SINT/EUROL,,694.0,12.0,0.0,0.0,682.0,112.0,1312.0,86.0,1226.0,130.0,1105.0,101.0,1009.0,57.0,952.0,35.0,900.0,45.0,855.0,22.0,833.0,11.0,822.0,35.0,787.0,91.0,694.0,0.0,694.0
ACEI-EUROL-SINT-0004,ACEITE 5W30 1 LT SUPER LITE GASOLINA FUL SINT/ EUROL,,0.0,28.0,0.0,0.0,-28.0,49.0,260.0,85.0,165.0,82.0,82.0,23.0,59.0,44.0,15.0,16.0,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACEI-EUROL-SINT-0005,ACEITE 10W30 EVOLENCE 1L FULL SINTETICO EUROL,,427.0,0.0,0.0,0.0,427.0,0.0,0.0,0.0,0.0,0.0,624.0,0.0,624.0,43.0,581.0,12.0,569.0,30.0,539.0,24.0,515.0,8.0,507.0,6.0,502.0,75.0,427.0,0.0,427.0
ACEI-EUROL-SINT-0006,ACEITE 10W30 GARRAFA 5L EVOLENCE FULL SINTETICO EUROL,,89.0,1.0,0.0,0.0,88.0,0.0,0.0,0.0,0.0,0.0,240.0,1.0,239.0,22.0,217.0,10.0,207.0,20.0,187.0,29.0,158.0,5.0,153.0,13.0,139.0,50.0,89.0,0.0,89.0
ACEI-EUROL-SINT-0009,ACEITE 5W30 GARRAFA 5L SUPER LITE GASOLINA FUL SINT/ EUROL,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,6.0,114.0,15.0,99.0,23.0,76.0,17.0,58.0,21.0,38.0,23.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0
ACEI-EUROL-SSINT-0001,ACEITE 15W40 1 LT SYNT PLUS P/DIESEL SEMI/SINT/ EUROL,,1592.0,14.0,0.0,0.0,1578.0,70.0,2466.0,141.0,2318.0,127.0,2194.0,113.0,2086.0,107.0,1963.0,44.0,1926.0,58.0,1911.0,52.0,1855.0,59.0,1799.0,78.0,1713.0,121.0,1592.0,0.0,1592.0
ACEI-EUROL-SSINT-0002,ACEITE 15W40 GARRAFA SYNT/PLUS SEMI/SINT/ EUROL,,329.0,5.0,0.0,0.0,324.0,53.0,247.0,82.0,163.0,74.0,676.0,61.0,617.0,54.0,558.0,54.0,499.0,29.0,478.0,33.0,444.0,22.0,424.0,36.0,385.0,52.0,329.0,0.0,329.0
ACEI-EUROL-SSINT-0003,ACEITE 15W40 CUBETA SYNT/PLUS DIESEL SEMI/SINT/ EUROL,,146.0,10.0,0.0,0.0,136.0,3.0,35.0,9.0,26.0,2.0,159.0,0.0,159.0,6.0,153.0,2.0,150.0,1.0,151.0,2.0,149.0,1.0,148.0,0.0,148.0,2.0,146.0,0.0,146.0
ACEI-EUROL-SSINT-0004,ACEITE 15W40 BARRIL SYNT/PLUS P/DIESEL SEMI/SINT/ EUROL,,5.0,3.0,0.0,0.0,2.0,0.0,16.0,1.0,15.0,0.0,15.0,1.0,14.0,1.0,13.0,2.0,11.0,0.0,11.0,2.0,9.0,1.0,8.0,2.0,6.0,1.0,5.0,0.0,5.0
ACEI-EUROL-SSINT-0005,ACEITE 10W30 1 LT PRO LITE P/GASOLINA/DIESEL SEMI/SINT/ EUROL,,665.0,24.0,0.0,0.0,641.0,49.0,405.0,47.0,358.0,5.0,964.0,25.0,939.0,47.0,892.0,47.0,843.0,13.0,829.0,48.0,781.0,26.0,758.0,57.0,700.0,35.0,665.0,0.0,665.0
ACEI-EUROL-SSINT-0006,ACEITE 10W30 GARRAFA PRO LITE P/GASOLINA/DIESEL SEMI/SINT/ EUROL,,234.0,12.0,0.0,0.0,222.0,33.0,211.0,34.0,177.0,78.0,453.0,42.0,411.0,37.0,373.0,40.0,330.0,11.0,321.0,27.0,294.0,15.0,279.0,13.0,265.0,31.0,234.0,0.0,234.0
ACEI-EUROL-SSINT-0007,ACEITE 10W30 BARRIL PRO LITE P/GASOLINA SEMI/SINT/ EUROL,,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACEI-EUROL-SSINT-0008,ACEITE 20W50 1 LT PRO LITE P/GASOLINA SEMI/SINT/ EUROL,,2666.0,16.0,0.0,0.0,2650.0,32.0,2979.0,52.0,2928.0,30.0,2889.0,33.0,2858.0,29.0,2824.0,11.0,2809.0,26.0,2779.0,11.0,2768.0,11.0,2763.0,27.0,2736.0,69.0,2666.0,0.0,2666.0
ACEI-EUROL-SSINT-0009,ACEITE 20W50 GARRAFA PRO LITE P/GASOLINA SEMI/SINT/ EUROL,,317.0,4.0,0.0,0.0,313.0,24.0,511.0,37.0,474.0,38.0,433.0,7.0,426.0,10.0,416.0,19.0,396.0,11.0,383.0,10.0,373.0,10.0,362.0,11.0,351.0,35.0,317.0,0.0,317.0
ACEI-EUROL-SSINT-0010,ACEITE 20W50 BARRIL PRO LITE P/GASOLINA SEMI/SINT/ EUROL,,4.0,1.0,0.0,0.0,3.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0
ACEI-EUROL-SSINT-0011,ACEITE 15W40 GARRAFA DE  6 LTS GLOBENCE SA EUROL,,18.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,240.0,2.0,238.0,21.0,216.0,35.0,181.0,27.0,152.0,25.0,125.0,38.0,86.0,27.0,59.0,41.0,18.0,0.0,18.0
ACEI-EUROL-SSINT-0012,ACEITE 15W40 1 LTS GLOBENCE SA EUROL,,293.0,0.0,0.0,0.0,293.0,0.0,0.0,0.0,0.0,0.0,624.0,2.0,622.0,32.0,589.0,39.0,550.0,30.0,519.0,41.0,468.0,58.0,406.0,54.0,351.0,55.0,293.0,0.0,293.0
ACEI-EUROL-SSINT-0013,ACEITE 20W50 4T 1LTS ROAD MINERAL MOTO  EUROL,,1793.0,24.0,0.0,0.0,1769.0,0.0,0.0,0.0,0.0,0.0,1872.0,0.0,1867.0,24.0,1843.0,1.0,1842.0,1.0,1841.0,0.0,1841.0,0.0,1841.0,36.0,1805.0,12.0,1793.0,0.0,1793.0
ACEI-EUROL-SSINT-0015,ACEITE 5W20 GARRAFA 5L SUPER LITE EUROL,,221.0,4.0,4.0,0.0,221.0,0.0,0.0,0.0,0.0,0.0,360.0,4.0,356.0,8.0,348.0,11.0,337.0,15.0,322.0,18.0,304.0,16.0,288.0,23.0,266.0,44.0,221.0,0.0,221.0
ACEI-EUROL-SSINT-0016,ACEITE 5W40 GARRAFA  SUPER LITE EUROL,,29.0,2.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,120.0,6.0,114.0,6.0,107.0,8.0,100.0,18.0,82.0,17.0,65.0,7.0,57.0,14.0,43.0,14.0,29.0,0.0,29.0
ACEI-EUROL-SSINT-0017,ACEITE 15W40 BARRIL GLOBENCE SA EUROL,,12.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,12.0,0.0,12.0,0.0,12.0,0.0,12.0,0.0,12.0,0.0,12.0,0.0,12.0,0.0,12.0,0.0,12.0
ACEI-EUROL-SSINT-0018,ACEITE 0W20 GARRAFA EVOLENCE F/SINTETICO EUROL,,71.0,0.0,0.0,0.0,71.0,0.0,0.0,0.0,0.0,0.0,120.0,2.0,118.0,5.0,113.0,5.0,109.0,5.0,103.0,9.0,94.0,3.0,89.0,13.0,76.0,5.0,71.0,0.0,71.0
ACEI-EUROL-SSINT-0020,ACEITE 15W40 CUBETA GLOBENCE SA EUROL,,134.0,0.0,0.0,0.0,134.0,0.0,0.0,0.0,0.0,0.0,135.0,0.0,135.0,0.0,135.0,0.0,135.0,0.0,135.0,0.0,135.0,1.0,134.0,0.0,134.0,0.0,134.0,0.0,134.0
ADIT-EURO-LIMP-0001,LIMPIADOR DE MOTOR 500 ML EUROL,,209.0,0.0,0.0,0.0,209.0,0.0,0.0,0.0,0.0,0.0,240.0,1.0,239.0,1.0,238.0,2.0,236.0,2.0,233.0,3.0,230.0,0.0,229.0,14.0,215.0,6.0,209.0,0.0,209.0
ADIT-EURO-LIMP-0002,LIMPIADOR DE FRENOS SPRAY 500 ML EUROL,,106.0,4.0,0.0,0.0,102.0,0.0,0.0,0.0,0.0,0.0,504.0,10.0,488.0,38.0,453.0,50.0,401.0,54.0,347.0,53.0,293.0,61.0,231.0,74.0,154.0,47.0,106.0,0.0,106.0
ADIT-EURO-LIMP-0003,LIQUIDO PENETRANTE ACEITE SPRAY 400 ML EUROL,,29.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,48.0,3.0,44.0,2.0,42.0,0.0,42.0,0.0,39.0,2.0,36.0,2.0,34.0,1.0,31.0,1.0,29.0,0.0,29.0
ADIT-EURO-LIMP-0004,LIMPIADOR DE INYECTORES DIESEL 250 ML EUROL,,239.0,0.0,0.0,0.0,239.0,0.0,0.0,0.0,0.0,0.0,252.0,0.0,252.0,0.0,252.0,0.0,252.0,0.0,258.0,0.0,258.0,0.0,258.0,7.0,249.0,9.0,239.0,0.0,239.0
ADIT-EURO-LIMP-0005,LIMPIADOR DE INYECTORES PETROL GASOLINA 250 ML EUROL,,226.0,0.0,0.0,0.0,226.0,0.0,0.0,0.0,0.0,0.0,252.0,0.0,252.0,1.0,250.0,3.0,248.0,9.0,239.0,0.0,238.0,0.0,238.0,4.0,234.0,8.0,226.0,0.0,226.0
ADIT-EURO-LIMP-0006,LIMPIADOR DE CONTACTOS SPRAY 400ML EUROL,,39.0,0.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,48.0,2.0,46.0,2.0,44.0,2.0,42.0,1.0,41.0,0.0,41.0,0.0,40.0,1.0,39.0,0.0,39.0
LIQU-FREN-EIFFEL-0001,LIQUIDO DE FRENOS DOT3 250 ML EIFFEL,,4164.0,770.0,4800.0,0.0,8194.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4796.0,32.0,4764.0,28.0,4736.0,549.0,4164.0,0.0,4164.0
LIQU-FREN-EIFFEL-0002,LIQUIDO DE FRENOS DOT3 500ML EIFFEL,,2205.0,390.0,2400.0,0.0,4215.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2398.0,13.0,2385.0,32.0,2353.0,146.0,2205.0,0.0,2205.0
LIQU-FREN-EIFIL-0002,LIQUIDO DE FRENOS DOT3 500ML EIFFEL,,0.0,2.0,200.0,0.0,198.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LUBR-EIFFEL-GRASA-0001,GRASA N.O PANITA 500 GMS EFFIL,,888.0,400.0,1200.0,0.0,1688.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1200.0,12.0,1188.0,136.0,1052.0,164.0,888.0,0.0,888.0
LUBR-EIFFEL-GRASA-0002,GRASA N.O  2 CUBETA 18 KGMS  EIFFEL,,46.0,8.0,48.0,0.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,48.0,2.0,46.0,0.0,46.0,0.0,46.0
LUBR-EUROL-GRASA-0001,GRASA LITHIUM UNIVERSAL EP2 400 GR EUROL,,276.0,0.0,0.0,0.0,276.0,0.0,0.0,0.0,0.0,0.0,336.0,1.0,335.0,6.0,329.0,10.0,319.0,7.0,312.0,1.0,310.0,15.0,295.0,16.0,278.0,2.0,276.0,0.0,276.0
